,repository_names,repository_languages
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-api-sdk-ruby,Ruby
27,amazon-pay-sdk-csharp,C#
28,amazon-pay-sdk-java,Java
29,amazon-pay-sdk-php,PHP
30,amazon-pay-sdk-python,Python
31,amazon-pay-sdk-ruby,Ruby
32,amazon-pay-sdk-samples,PHP
33,amazon-payment-files-tools,Kotlin
34,amazon-payments-magento-2-plugin,PHP
35,amazon-ray,Python
36,amazon-s3-gst-plugin,C
37,amazon-sidewalk-android-samples,
38,amazon-sidewalk-ios-samples,Swift
39,amazon-succinct-doc-representation,Python
40,amazon-template-library,C++
41,amazon-weak-ner-needle,Python
42,amigitenough,Go
43,amzn-drivers,C
44,amzn-ec2-ena-utilities,Python
45,armbench,Python
46,auction-gym,Jupyter Notebook
47,augment-the-pairs-wacv2024,Python
48,autotrail,Python
49,aws-apigateway-client-lib,
50,aws-sigv4-signing-samples,Java
51,awsssmchaosrunner,Kotlin
52,basis-point-sets,Python
53,BayesPE,Python
54,buy-with-prime-automate-tenant-validation,JavaScript
55,buy-with-prime-cdk-constructs,TypeScript
56,buy-with-prime-event-accelerator,Python
57,buy-with-prime-monitoring-sample-cdk,TypeScript
58,buy-with-prime-oauth-handler-ec2,JavaScript
59,buy-with-prime-saas-integration,TypeScript
60,chalet-charging-location-for-electric-trucks,Python
61,computer-vision-basics-in-microsoft-excel,
62,confident-sinkhorn-allocation,Jupyter Notebook
63,convolutional-handwriting-gan,Python
64,cosearcher,Python
65,credence-to-causal-estimation,Python
66,data-jack-knife,Java
67,debiased-balanced-interleaving,Jupyter Notebook
68,differential-privacy-bayesian-optimization,Python
69,distance-assistant,Python
70,drs-sample-android-app,Java
71,drs-sample-ios-app,Objective-C
72,emukit-playground,JavaScript
73,eslint-plugin-no-date-parsing,TypeScript
74,exoplayer-amazon-port,Java
75,explainable-text-vqa,
76,extremely-efficient-query-encoder,Python
77,faithful-data2text-cycle-training,Python
78,fashion-attribute-disentanglement,Python
79,fire-app-builder,Java
80,firetv-sample-touch-app,Java
81,ftv-integration-sdk-sample-app,Kotlin
82,ftv-livetv-sample-tv-app,Java
83,gameon-sample-game-unity,C#
84,gameon-starter-kit-unity,C#
85,git-commit-template,JavaScript
86,glad,JavaScript
87,golang-gitoperations,Go
88,halo-third-party-sdk-for-java,Java
89,halo-third-party-sdk-for-node-js,TypeScript
90,halo-third-party-sdk-for-python,Python
91,hawktracer,C++
92,image-misspell-coling2020,
93,image-to-recipe-transformers,Python
94,informative-diverse-hard-negative-sampling,Python
95,ion-object-mapper-dotnet,C#
96,jekyll-doc-project,HTML
97,kqr,
98,login-with-amazon-oscommerce,PHP
99,login-with-amazon-wordpress,PHP
100,media3-external-port,
101,merlin-on-demand-callgraph,JavaScript
102,metalearn-leap,Python
103,milan,Scala
104,mrc-net-6d-pose,Python
105,multiconer-baseline,Python
106,multilingual-keyphrase-generation,Python
107,multimodal-affinities,Python
108,MXFusion,Python
109,nimbus-jose-jwt_aws-kms-extension,Java
110,node-jose_aws-kms-extension,TypeScript
111,openapi-swift-code-generate,Swift
112,orthogonal-additive-gaussian-processes,Python
113,oss-attribution-builder,TypeScript
114,oss-contribution-tracker,TypeScript
115,oss-dashboard,Ruby
116,pecos,Python
117,pretraining-or-self-training,Python
118,python-jose_aws-kms-extension,Python
119,rdma-core,C
120,refuel-open-domain-qa,Python
121,rete-thewebconf-2022,Python
122,rheoceros,Python
123,robotiq-gripper-interface,C++
124,sample-fire-tv-app-video-skill,Java
125,selling-partner-api-docs,
126,selling-partner-api-models,Mustache
127,selling-partner-api-samples,Java
128,seqzero,Python
129,service-model-swift-code-generate,Swift
130,sketch-constructor,JavaScript
131,smoke-aws,Swift
132,smoke-aws-credentials,Swift
133,smoke-aws-generate,Swift
134,smoke-aws-support,Swift
135,smoke-dynamodb,Swift
136,smoke-framework,Swift
137,smoke-framework-application-generate,Swift
138,smoke-framework-examples,Swift
139,smoke-http,Swift
140,sparse-vqvae,Python
141,ss-aga-kgc,Python
142,sto-transformer,Python
143,style-dictionary,JavaScript
144,supply-chain-simulation-environment,Python
145,tiny-attribution-generator,TypeScript
146,trans-encoder,Python
147,user-satisfaction-modeling,Python
148,workspace-resolver,JavaScript
149,ws-vae,Python
150,xfer,Python
151,zeek-plugin-bacnet,Zeek
152,zeek-plugin-enip,Zeek
