,repository_names,repository_languages
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,bpftop,C
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-java16,Java
41,dgs-examples-kotlin,Kotlin
42,dgs-examples-kotlin-2.7,Kotlin
43,dgs-examples-webflux,Java
44,dgs-federation-example,Kotlin
45,dgs-framework,Kotlin
46,dgs-intellij-plugin,Kotlin
47,dial-reference,C
48,dispatch,Python
49,dispatch-docker,Shell
50,dyno,Java
51,dyno-queues,Java
52,dynomite,C
53,dynomite-manager,Java
54,e2nest,Python
55,eclipse-jifa,Java
56,eclipse-mat,
57,edda,Scala
58,edda-client,Java
59,element-server,JavaScript
60,ember-batch-request,JavaScript
61,ember-nf-graph,JavaScript
62,ember-nf-graph-examples,JavaScript
63,eslint-config-netflix,Shell
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
90,go-env,Go
91,go-expect,Go
92,go-iomux,Go
93,governator,Java
94,gradle-template,Java
95,hal-9001,Go
96,hollow,Java
97,hollow-reference-implementation,Java
98,hubcommander,Python
99,Hystrix,Java
100,iceberg,Java
101,iceberg-python,Python
102,iep,Java
103,iep-shadow,
104,image_compression_comparison,Python
105,inviso,JavaScript
106,karyon,Java
107,lemur,Python
108,lemur-docker,Python
109,libamicontained,Rust
110,Lipstick,JavaScript
111,maestro,Java
112,mantis,Java
113,mantis-api,Java
114,mantis-cli,JavaScript
115,mantis-connectors,Java
116,mantis-control-plane,Java
117,mantis-examples,Java
118,mantis-gradle-plugin,Groovy
119,mantis-helm,Smarty
120,mantis-mql,Clojure
121,mantis-rxcontrol,Java
122,mantis-rxnetty,
123,mantis-source-jobs,Java
124,mantis-ui,TypeScript
125,matchcut,Jupyter Notebook
126,metacat,Java
127,metaflow,Python
128,metaflow-docs,JavaScript
129,metaflow-extensions-template,Python
130,metaflow-nflx-extensions,Python
131,metaflow-service,Python
132,metaflow-tools,HCL
133,metaflow-ui,TypeScript
134,metrics-client-go,Go
135,msl,C++
136,ndbench,HTML
137,nerror,JavaScript
138,netflix-commons,Java
139,netflix-graph,Java
140,netflix.github.com,HTML
141,netflixoss-npm-build-infrastructure,
142,nf-data-explorer,TypeScript
143,nflx-geofeed,
144,nflxprofile,Python
145,NfWebCrypto,C++
146,Nicobar,Java
147,ocelli,Java
148,octodns,
149,octodns-ns1,Python
150,octodns-route53,
151,octodns-ultra,Python
152,OpenVPCal,Python
153,osstracker,Scala
154,p2plab,Go
155,photon,Java
156,PigPen,Clojure
157,pollyjs,JavaScript
158,polynote,HTML
159,Prana,Java
160,Priam,Java
161,probnik,TypeScript
162,pygenie,Python
163,pytheas,JavaScript
164,q,Java
165,Raigad,Java
166,ReactiveLab,Java
167,reactivesocket-examples,Java
168,read_bbrlog,C
169,recipes-rss,Java
170,rend,Go
171,rend-http,Go
172,rend-lmdb,Go
173,repokid,Python
174,restful-jsonapi,Ruby
175,ribbon,Java
176,runtime-health,Java
177,rx-aws-java-sdk,Java
178,s3mper,Java
179,security-bulletins,
180,security_monkey,Python
181,servo,Java
182,sherlock,R
183,signal-wrapper,Go
184,SimianArmy,Java
185,sleepy-puppy-docker,Dockerfile
186,spark,Scala
187,spectator,Java
188,spectator-cpp,C++
189,spectator-go,Go
190,spectator-go-runtime-metrics,Go
191,spectator-js,JavaScript
192,spectator-py,Python
193,spectator-py-runtime-metrics,Python
194,spectator-rb,Ruby
195,staash,Java
196,sureal,Python
197,suro,Java
198,Surus,Java
199,taskintrospection,C
200,tcplog_dumper,C
201,techreports,
202,titus,
203,titus-api-definitions,Makefile
204,titus-control-plane,Java
205,titus-executor,Go
206,titus-kube-common,Go
207,tslint-config-netflix,JavaScript
208,Turbine,Java
209,unleash,JavaScript
210,user2020-metaflow-tutorial,R
211,vector,JavaScript
212,vectorflow,D
213,videoannotator,Jupyter Notebook
214,virtual-kubelet,Go
215,vizceral,JavaScript
216,vizceral-component,JavaScript
217,vizceral-example,JavaScript
218,vizceral-react,JavaScript
219,vmaf,Python
220,vmaf_resource,
221,vp9-dash,
222,webpack-parse-query,JavaScript
223,weep,Go
224,Workflowable,Ruby
225,x-element,JavaScript
226,x-test,JavaScript
227,yetch,JavaScript
228,zeno,Java
229,zuul,Java
