,repository_names,repository_languages
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel,
18,bazel-tools,Java
19,beam,Java
20,big-data-rosetta-code,Scala
21,bigtable-autoscaler,Java
22,boilerplate-app,
23,bucket-runner,JavaScript
24,cartography,Python
25,cassandra-extra,Java
26,cassandra-medusa,Python
27,cassandra-opstools,Java
28,cassandra-reaper,
29,causify,
30,certcheck,Python
31,chartify,Python
32,code-of-conduct,
33,collectd,C
34,comet,Python
35,comet-common,Python
36,comet-core,Python
37,completable-futures,Java
38,condor,Java
39,confidence,Python
40,confidence-sdk-android,Kotlin
41,confidence-sdk-flutter,Dart
42,confidence-sdk-go,Go
43,confidence-sdk-java,Java
44,confidence-sdk-js,TypeScript
45,confidence-sdk-python,Python
46,confidence-sdk-rust,Rust
47,confidence-sdk-swift,Swift
48,container-agent,Python
49,cookiecutter-golang,Go
50,coordinator,HTML
51,crtauth,Python
52,crtauth-java,Java
53,crtauth-java-agent-signer-apache,Java
54,crunch-lib,Java
55,cstar,Python
56,daemon-java,Java
57,dataenum,Java
58,DataflowJavaSDK,Java
59,dataproc-java-submitter,Java
60,dataprocxy,Python
61,dbeam,Java
62,debify,Shell
63,dh-virtualenv,Python
64,diffuser,Swift
65,dns-java,Java
66,docgenerator,Java
67,docker-alpine,
68,docker-bigtable,Go
69,docker-cassandra,Shell
70,docker-client,Java
71,docker-gc,Shell
72,docker-kafka,Shell
73,docker-maven-plugin,Java
74,docker-stress,Python
75,dockerfile-maven,Java
76,dockerfile-mode,Emacs Lisp
77,docker_interface,Python
78,drserv,Python
79,druid,
80,duck,Ruby
81,echoprint-codegen,C++
82,echoprint-server,Java
83,elasticsearch-index-window,Java
84,elitzur,Scala
85,eslint-config-oss,JavaScript
86,etcd,Go
87,featran,Scala
88,ffwd,Java
89,ffwd-client-java,Java
90,ffwd-http-client,Java
91,ffwd-ruby,Ruby
92,flink,Java
93,flink-docker,
94,flink-on-k8s-operator,Go
95,flo,Java
96,flume-syslog-source2,Java
97,flyte-flink-plugin,Go
98,fmt-maven-plugin,Java
99,folsom,Java
100,foss-root,
101,futures-extra,Java
102,futuristic-feline,Java
103,gcp-audit,Python
104,gcp-aws-iam-federation-webidentity,HCL
105,gcp-firewall-enforcer,Python
106,gcs-tools,Scala
107,ghelog,Python
108,gimme,Python
109,git-test,Shell
110,github-java-client,Java
111,google-http-java-client,Java
112,gordon,Python
113,gordon-gcp,Python
114,gordon-introspection,Python
115,gordon-janitor,Python
116,gordon-janitor-gcp,Python
117,griffin,Python
118,hadoop-openpgp-codec,Java
119,hdfs2cass,Java
120,helios,Java
121,helios-go,Go
122,helios-skydns,Java
123,heroic,Java
124,heroic-client-go,Go
125,heroic-client-java,Java
126,homebrew-public,Ruby
127,hornet,Scala
128,HubFramework,Objective-C
129,hush-tab,JavaScript
130,hype,Java
131,hyperflo,Scala
132,ieee-spm-vocals-tutorial,Jupyter Notebook
133,ios-auth,Objective-C
134,ios-ci,Shell
135,ios-sdk,Objective-C
136,ios-style,
137,java-hamcrest,Java
138,java-lkk,Java
139,jenkins-coverage-poster,Groovy
140,jira-lkk-bridge,Java
141,JniHelpers,C++
142,jsconfeu-2013,JavaScript
143,kafka,Scala
144,kairosdb,Java
145,kernel-common,
146,klio,Python
147,lemur,Python
148,lighthouse-audit-service,TypeScript
149,limbo,Scala
150,lingon,JavaScript
151,linux,C
152,logging-java,Java
153,luigi,Python
154,lyceum,Clojure
155,mace,
156,magnolify,Scala
157,metrics-munin-reporter,Java
158,missinglink,Java
159,mlockexec,Python
160,mobius,Java
161,mobius-android-sample,Java
162,Mobius.swift,Swift
163,moob,Ruby
164,netty-batch-flusher,Java
165,netty-zmtp,Java
166,noether,Scala
167,okta-sdk-python,Python
168,openfeature-kotlin-sdk,Kotlin
169,openfeature-swift-sdk,Swift
170,pedalboard,C++
171,PeqBank,C
172,perf-map-agent,C
173,phpconf-argentina-2014,JavaScript
174,platform-external-bluetooth-bluez,
175,polly-jest-presets,TypeScript
176,postgresql-metrics,Python
177,proto-registry,TypeScript
178,proto-requests,TypeScript
179,protoman,Java
180,puppet-talos,Puppet
181,pyeos,Python
182,pyfg,Python
183,pyschema,Python
184,python-graphwalker,Python
185,pythonflow,Python
186,pywk,Python
187,quickstart,JavaScript
188,ratatool,Scala
189,react-native-lookback,Objective-C
190,reactochart,JavaScript
191,realbook,Python
192,redux-location-state,JavaScript
193,requests-crtauth,Python
194,robolectric,Java
195,rspec-dns,Ruby
196,rspec-dnsruby,Ruby
197,ruler,Kotlin
198,s3mper,Java
199,scanctl,Python
200,scio,Scala
201,scio-contrib,Scala
202,scio-idea-plugin,Scala
203,scio.g8,Scala
204,sekexe,Shell
205,semantic-metrics,Java
206,should-up,JavaScript
207,shumway,Python
208,simple-bigtable,Java
209,skydns,
210,skygc,Python
211,snakebite,Python
212,soa-reference-integration,TypeScript
213,soundcheck-demo-environment,TypeScript
214,spark-bigquery,Scala
215,sparkey,C
216,sparkey-java,Java
217,sparkey-python,Python
218,spawn,Java
219,spotify-checkstyle-config,
220,spotify-heroic-datasource,TypeScript
221,spotify-js-challenge,JavaScript
222,spotify-json,C++
223,spotify-tensorflow,Python
224,spotify-web-api-ts-sdk,TypeScript
225,spotify-web-playback-sdk-example,JavaScript
226,spotify.github.io,HTML
227,SpotifyLogin,Swift
228,sprunch,Scala
229,SPStackedNav,Objective-C
230,SPTDataLoader,Objective-C
231,SPTPersistentCache,Objective-C
232,spydra,Java
233,spymaster,Python
