Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Blush em pó,Eletrodomésticos,79.41,7,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,85.47,78,Filial 8,Valor Indisponível
Base líquida,Roupas,75.02,34,Filial 8,Valor Indisponível
Base líquida,Roupas,44.94,90,Filial 10,Valor Indisponível
Lápis de sobrancelha,Alimentos,58.63,91,Filial 7,Valor Indisponível
Blush em pó,Roupas,50.79,77,Filial 7,Valor Indisponível
Corretivo,Eletrodomésticos,20.46,2,Filial 4,Valor Indisponível
Pó compacto,Roupas,85.56,37,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,31.92,56,Filial 8,Valor Indisponível
Delineador líquido,Alimentos,42.58,8,Filial 3,Valor Indisponível
Corretivo,Eletrodomésticos,92.03,10,Filial 8,Valor Indisponível
Lápis de sobrancelha,Roupas,91.01,95,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,40.01,85,Filial 7,Valor Indisponível
Base líquida,Alimentos,37.56,90,Filial 4,Valor Indisponível
Blush em pó,Roupas,9.93,82,Filial 6,Valor Indisponível
Batom matte,Eletrônicos,80.34,42,Filial 2,Valor Indisponível
Pó compacto,Alimentos,67.77,13,Filial 7,Valor Indisponível
Batom matte,Roupas,94.63,20,Filial 3,Valor Indisponível
Corretivo,Roupas,67.85,8,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,54.05,8,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,93.16,65,Filial 8,Valor Indisponível
Sombra de olhos,Roupas,44.13,66,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,41.87,60,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,49.69,57,Filial 3,Valor Indisponível
Lápis de sobrancelha,Alimentos,3.77,17,Filial 5,Valor Indisponível
Máscara de cílios,Eletrônicos,37.85,36,Filial 5,Valor Indisponível
Pó compacto,Eletrônicos,80.5,99,Filial 5,Valor Indisponível
Base líquida,Eletrônicos,61.89,34,Filial 9,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,79.26,19,Filial 5,Valor Indisponível
Pó compacto,Alimentos,72.19,100,Filial 4,Valor Indisponível
Batom matte,Eletrodomésticos,22.05,56,Filial 9,Valor Indisponível
Blush em pó,Eletrodomésticos,69.91,77,Filial 7,Valor Indisponível
Pó compacto,Eletrônicos,60.83,18,Filial 10,Valor Indisponível
Sombra de olhos,Alimentos,55.75,98,Filial 5,Valor Indisponível
Sombra de olhos,Eletrônicos,22.32,53,Filial 5,Valor Indisponível
Base líquida,Alimentos,60.37,35,Filial 2,Valor Indisponível
Batom matte,Alimentos,15.07,78,Filial 9,Valor Indisponível
Base líquida,Eletrônicos,67.92,63,Filial 4,Valor Indisponível
Pó compacto,Eletrônicos,84.48,83,Filial 3,Valor Indisponível
Corretivo,Eletrônicos,70.08,40,Filial 1,Valor Indisponível
Pó compacto,Roupas,25.96,23,Filial 9,Valor Indisponível
Batom matte,Alimentos,40.67,84,Filial 1,Valor Indisponível
Sombra de olhos,Alimentos,83.64,74,Filial 4,Valor Indisponível
Pó compacto,Eletrodomésticos,26.06,12,Filial 1,Valor Indisponível
Sombra de olhos,Eletrodomésticos,58.83,51,Filial 4,Valor Indisponível
Blush em pó,Alimentos,48.5,57,Filial 5,Valor Indisponível
Pó compacto,Roupas,75.61,87,Filial 5,Valor Indisponível
Máscara de cílios,Eletrônicos,62.89,20,Filial 6,Valor Indisponível
Sombra de olhos,Eletrodomésticos,31.04,68,Filial 6,Valor Indisponível
Máscara de cílios,Eletrodomésticos,34.19,63,Filial 7,Valor Indisponível
Base líquida,Eletrodomésticos,78.59,48,Filial 9,Valor Indisponível
Sombra de olhos,Eletrodomésticos,49.33,98,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,5.84,1,Filial 2,Valor Indisponível
Delineador líquido,Roupas,18.88,25,Filial 10,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,40.34,37,Filial 8,Valor Indisponível
Sombra de olhos,Eletrodomésticos,80.61,45,Filial 4,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,41.92,83,Filial 8,Valor Indisponível
Corretivo,Eletrodomésticos,49.24,42,Filial 9,Valor Indisponível
Base líquida,Roupas,37.93,35,Filial 4,Valor Indisponível
Lápis de sobrancelha,Alimentos,24.28,73,Filial 3,Valor Indisponível
Delineador líquido,Eletrodomésticos,28.68,24,Filial 2,Valor Indisponível
Base líquida,Eletrônicos,90.32,65,Filial 1,Valor Indisponível
Batom líquido,Eletrodomésticos,7.99,6,Filial 3,Valor Indisponível
Base líquida,Eletrodomésticos,41.99,80,Filial 9,Valor Indisponível
Corretivo,Roupas,14.31,95,Filial 8,Valor Indisponível
Lápis de sobrancelha,Alimentos,58.45,19,Filial 3,Valor Indisponível
Delineador líquido,Roupas,20.89,68,Filial 4,Valor Indisponível
Pó compacto,Eletrodomésticos,64.0,28,Filial 2,Valor Indisponível
Pó compacto,Eletrodomésticos,11.42,60,Filial 3,Valor Indisponível
Batom líquido,Eletrodomésticos,72.36,61,Filial 7,Valor Indisponível
Máscara de cílios,Eletrônicos,65.02,13,Filial 10,Valor Indisponível
Pó compacto,Eletrodomésticos,75.26,11,Filial 2,Valor Indisponível
Blush em pó,Eletrodomésticos,26.38,19,Filial 3,Valor Indisponível
Corretivo,Eletrodomésticos,93.99,28,Filial 2,Valor Indisponível
Delineador líquido,Eletrodomésticos,86.71,22,Filial 7,Valor Indisponível
Pó compacto,Alimentos,26.53,78,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,17.06,19,Filial 6,Valor Indisponível
Máscara de cílios,Eletrodomésticos,6.66,29,Filial 8,Valor Indisponível
Blush em pó,Roupas,78.67,72,Filial 10,Valor Indisponível
Base líquida,Eletrodomésticos,70.98,47,Filial 2,Valor Indisponível
Sombra de olhos,Roupas,37.08,58,Filial 2,Valor Indisponível
Corretivo,Roupas,93.9,96,Filial 8,Valor Indisponível
Pó compacto,Alimentos,62.94,74,Filial 7,Valor Indisponível
Blush em pó,Alimentos,84.91,23,Filial 6,Valor Indisponível
Batom matte,Roupas,42.41,80,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,79.25,7,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,37.17,70,Filial 7,Valor Indisponível
Sombra de olhos,Roupas,33.38,97,Filial 4,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,86.56,75,Filial 5,Valor Indisponível
Batom líquido,Eletrodomésticos,80.83,15,Filial 1,Valor Indisponível
Batom líquido,Eletrônicos,45.82,30,Filial 8,Valor Indisponível
Batom matte,Eletrodomésticos,68.11,53,Filial 7,Valor Indisponível
Batom matte,Eletrônicos,46.0,80,Filial 3,Valor Indisponível
Batom matte,Roupas,48.87,37,Filial 6,Valor Indisponível
Máscara de cílios,Roupas,64.28,24,Filial 8,Valor Indisponível
Sombra de olhos,Eletrodomésticos,26.71,1,Filial 7,Valor Indisponível
Batom matte,Eletrônicos,58.17,16,Filial 3,Valor Indisponível
Sombra de olhos,Alimentos,81.93,65,Filial 10,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,89.96,54,Filial 10,Valor Indisponível
Máscara de cílios,Alimentos,75.6,20,Filial 1,Valor Indisponível
Corretivo,Eletrônicos,53.98,21,Filial 1,Valor Indisponível
Batom matte,Eletrodomésticos,10.25,1,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,31.76,11,Filial 5,Valor Indisponível
Batom líquido,Eletrônicos,33.69,12,Filial 9,Valor Indisponível
Pó compacto,Alimentos,44.9,68,Filial 2,Valor Indisponível
Máscara de cílios,Alimentos,62.27,63,Filial 2,Valor Indisponível
Máscara de cílios,Eletrodomésticos,15.45,38,Filial 8,Valor Indisponível
Pó compacto,Roupas,1.53,62,Filial 1,Valor Indisponível
Batom líquido,Eletrônicos,70.0,1,Filial 6,Valor Indisponível
Pó compacto,Eletrônicos,79.24,60,Filial 7,Valor Indisponível
Máscara de cílios,Roupas,79.14,39,Filial 1,Valor Indisponível
Base líquida,Alimentos,99.19,63,Filial 8,Valor Indisponível
Máscara de cílios,Alimentos,37.06,78,Filial 5,Valor Indisponível
Pó compacto,Eletrônicos,29.8,12,Filial 8,Valor Indisponível
Corretivo,Eletrodomésticos,52.0,80,Filial 6,Valor Indisponível
Base líquida,Eletrodomésticos,89.7,65,Filial 3,Valor Indisponível
Batom líquido,Eletrodomésticos,91.31,57,Filial 2,Valor Indisponível
Pó compacto,Eletrônicos,48.14,77,Filial 6,Valor Indisponível
Batom líquido,Eletrodomésticos,82.31,12,Filial 7,Valor Indisponível
Delineador líquido,Roupas,59.96,30,Filial 3,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,93.08,42,Filial 9,Valor Indisponível
Batom líquido,Roupas,3.91,37,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,56.51,39,Filial 3,Valor Indisponível
Delineador líquido,Roupas,11.15,69,Filial 7,Valor Indisponível
Base líquida,Eletrônicos,48.75,86,Filial 4,Valor Indisponível
Delineador líquido,Eletrodomésticos,33.31,14,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,60.97,81,Filial 2,Valor Indisponível
Delineador líquido,Eletrodomésticos,14.53,11,Filial 8,Valor Indisponível
Batom líquido,Alimentos,33.68,99,Filial 9,Valor Indisponível
Máscara de cílios,Alimentos,2.83,85,Filial 5,Valor Indisponível
Batom matte,Roupas,68.23,40,Filial 2,Valor Indisponível
Pó compacto,Alimentos,21.76,46,Filial 5,Valor Indisponível
Base líquida,Eletrodomésticos,47.02,63,Filial 8,Valor Indisponível
Base líquida,Eletrônicos,43.03,28,Filial 6,Valor Indisponível
Base líquida,Roupas,15.3,29,Filial 2,Valor Indisponível
Blush em pó,Alimentos,85.81,26,Filial 2,Valor Indisponível
Máscara de cílios,Eletrodomésticos,62.99,96,Filial 9,Valor Indisponível
Pó compacto,Alimentos,68.27,100,Filial 4,Valor Indisponível
Corretivo,Alimentos,5.31,49,Filial 7,Valor Indisponível
Batom matte,Alimentos,53.41,59,Filial 5,Valor Indisponível
Máscara de cílios,Eletrônicos,34.25,100,Filial 1,Valor Indisponível
Blush em pó,Roupas,9.65,18,Filial 7,Valor Indisponível
Batom matte,Alimentos,15.6,26,Filial 7,Valor Indisponível
Pó compacto,Alimentos,82.53,61,Filial 5,Valor Indisponível
Batom matte,Eletrodomésticos,99.55,84,Filial 10,Valor Indisponível
Base líquida,Roupas,76.81,91,Filial 3,Valor Indisponível
Blush em pó,Roupas,69.43,84,Filial 6,Valor Indisponível
Máscara de cílios,Eletrônicos,58.69,28,Filial 10,Valor Indisponível
Batom matte,Roupas,98.95,72,Filial 7,Valor Indisponível
Batom líquido,Eletrodomésticos,78.87,87,Filial 2,Valor Indisponível
Blush em pó,Eletrodomésticos,37.35,35,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,36.85,87,Filial 5,Valor Indisponível
Batom líquido,Eletrônicos,37.5,93,Filial 1,Valor Indisponível
Corretivo,Eletrônicos,13.62,56,Filial 1,Valor Indisponível
Pó compacto,Eletrônicos,8.02,49,Filial 8,Valor Indisponível
Corretivo,Roupas,83.5,68,Filial 7,Valor Indisponível
Delineador líquido,Alimentos,51.08,97,Filial 9,Valor Indisponível
Delineador líquido,Roupas,96.37,10,Filial 5,Valor Indisponível
Corretivo,Roupas,5.81,55,Filial 9,Valor Indisponível
Batom matte,Alimentos,19.44,81,Filial 8,Valor Indisponível
Corretivo,Alimentos,1.46,3,Filial 10,Valor Indisponível
Pó compacto,Alimentos,9.15,7,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,9.57,41,Filial 9,Valor Indisponível
Blush em pó,Eletrodomésticos,49.26,10,Filial 1,Valor Indisponível
Blush em pó,Eletrodomésticos,28.92,1,Filial 3,Valor Indisponível
Máscara de cílios,Alimentos,94.15,54,Filial 6,Valor Indisponível
Pó compacto,Roupas,48.27,63,Filial 6,Valor Indisponível
Máscara de cílios,Eletrodomésticos,45.64,53,Filial 7,Valor Indisponível
Batom matte,Alimentos,33.77,60,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,83.21,43,Filial 2,Valor Indisponível
Pó compacto,Eletrônicos,22.32,98,Filial 9,Valor Indisponível
Pó compacto,Eletrônicos,5.96,21,Filial 9,Valor Indisponível
Sombra de olhos,Alimentos,92.3,53,Filial 8,Valor Indisponível
Blush em pó,Alimentos,12.34,50,Filial 7,Valor Indisponível
Pó compacto,Roupas,10.27,56,Filial 6,Valor Indisponível
Pó compacto,Alimentos,96.11,6,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,64.91,67,Filial 5,Valor Indisponível
Delineador líquido,Roupas,52.4,52,Filial 4,Valor Indisponível
Base líquida,Roupas,90.54,70,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,70.74,53,Filial 1,Valor Indisponível
Corretivo,Alimentos,62.27,10,Filial 3,Valor Indisponível
