Nome do Item,Classificação do Produto,Valor em Reais (R$),Quantidade em Estoque,Nome da Loja,Data da Venda
Lápis de sobrancelha,Roupas,55.17,62,Filial 1,2023-04-13 18:58:06.794203
Batom matte,Eletrônicos,74.15,48,Filial 9,2023-06-03 18:58:06.794203
Corretivo,Roupas,54.86,36,Filial 5,2023-06-08 18:58:06.794203
Delineador líquido,Roupas,91.29,1,Filial 8,2023-02-27 18:58:06.794203
Batom líquido,Roupas,44.65,52,Filial 2,2022-09-05 18:58:06.794203
Base líquida,Eletrônicos,5.22,85,Filial 3,2022-09-11 18:58:06.794203
Máscara de cílios,Eletrônicos,1.08,31,Filial 6,2023-02-08 18:58:06.794203
Corretivo,Alimentos,56.22,76,Filial 5,2022-12-08 18:58:06.794203
Batom matte,Roupas,94.01,7,Filial 2,2023-07-18 18:58:06.794203
Lápis de sobrancelha,Alimentos,51.38,4,Filial 10,2023-06-19 18:58:06.794203
Pó compacto,Eletrônicos,5.59,82,Filial 10,2023-07-19 18:58:06.794203
Pó compacto,Eletrônicos,2.65,8,Filial 3,2023-05-24 18:58:06.794203
Corretivo,Roupas,68.62,6,Filial 1,2023-01-24 18:58:06.794203
Pó compacto,Alimentos,80.94,70,Filial 6,2023-06-07 18:58:06.794203
Batom matte,Alimentos,26.79,86,Filial 9,2023-01-10 18:58:06.794203
Base líquida,Alimentos,55.08,14,Filial 5,2023-02-09 18:58:06.794203
Base líquida,Alimentos,51.34,13,Filial 2,2022-10-24 18:58:06.794203
Sombra de olhos,Alimentos,31.07,45,Filial 8,2023-03-06 18:58:06.794203
Sombra de olhos,Eletrodomésticos,78.94,44,Filial 7,2022-11-12 18:58:06.794203
Batom matte,Eletrônicos,41.15,91,Filial 9,2023-02-03 18:58:06.794203
Base líquida,Eletrônicos,44.47,39,Filial 4,2023-07-31 18:58:06.794203
Sombra de olhos,Roupas,32.8,23,Filial 3,2023-06-07 18:58:06.794203
Delineador líquido,Alimentos,90.62,70,Filial 3,2022-10-31 18:58:06.794203
Pó compacto,Eletrônicos,66.56,89,Filial 1,2023-03-04 18:58:06.794203
Delineador líquido,Eletrônicos,57.56,77,Filial 8,2023-01-27 18:58:06.794203
Batom matte,Alimentos,40.92,13,Filial 3,2023-04-25 18:58:06.794203
Delineador líquido,Eletrônicos,65.96,73,Filial 10,2022-09-20 18:58:06.794203
Lápis de sobrancelha,Roupas,87.64,25,Filial 5,2023-03-09 18:58:06.794203
Sombra de olhos,Alimentos,61.21,22,Filial 3,2023-02-06 18:58:06.794203
Delineador líquido,Eletrodomésticos,12.77,57,Filial 8,2023-05-15 18:58:06.794203
Blush em pó,Roupas,86.67,61,Filial 10,2023-07-06 18:58:06.794203
Base líquida,Eletrodomésticos,26.87,56,Filial 6,2023-07-24 18:58:06.794203
Batom líquido,Roupas,83.86,33,Filial 2,2023-05-02 18:58:06.794203
Base líquida,Eletrônicos,89.13,49,Filial 3,2023-07-07 18:58:06.794203
Base líquida,Eletrônicos,12.08,87,Filial 2,2023-04-15 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,73.5,67,Filial 4,2022-11-07 18:58:06.794203
Delineador líquido,Eletrodomésticos,90.34,76,Filial 2,2023-06-16 18:58:06.794203
Batom matte,Eletrônicos,5.74,1,Filial 4,2022-12-15 18:58:06.794203
Batom matte,Roupas,47.47,62,Filial 3,2023-02-01 18:58:06.794203
Delineador líquido,Alimentos,87.52,43,Filial 9,2023-08-22 18:58:06.794203
Delineador líquido,Alimentos,14.57,72,Filial 10,2023-05-20 18:58:06.794203
Corretivo,Roupas,69.69,9,Filial 8,2023-02-03 18:58:06.794203
Batom matte,Eletrônicos,62.96,12,Filial 5,2023-05-02 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,52.49,57,Filial 1,2023-03-10 18:58:06.794203
Sombra de olhos,Roupas,85.51,5,Filial 5,2023-04-17 18:58:06.794203
Base líquida,Roupas,8.72,48,Filial 5,2023-05-16 18:58:06.794203
Batom líquido,Eletrodomésticos,78.58,89,Filial 10,2022-12-16 18:58:06.794203
Batom matte,Eletrônicos,23.8,28,Filial 9,2022-10-14 18:58:06.794203
Lápis de sobrancelha,Eletrodomésticos,36.96,5,Filial 3,2022-11-05 18:58:06.794203
Batom matte,Eletrônicos,13.84,2,Filial 6,2023-04-30 18:58:06.794203
Base líquida,Eletrodomésticos,23.45,69,Filial 7,2023-04-28 18:58:06.794203
Corretivo,Eletrônicos,31.88,19,Filial 3,2023-02-15 18:58:06.794203
Máscara de cílios,Eletrodomésticos,73.9,83,Filial 3,2023-07-02 18:58:06.794203
Batom líquido,Roupas,48.62,32,Filial 5,2023-05-27 18:58:06.794203
Batom matte,Eletrodomésticos,46.32,52,Filial 8,2023-04-12 18:58:06.794203
Base líquida,Alimentos,6.9,10,Filial 4,2023-03-23 18:58:06.794203
Pó compacto,Eletrodomésticos,26.51,10,Filial 2,2022-10-27 18:58:06.794203
Máscara de cílios,Roupas,37.52,55,Filial 9,2023-02-13 18:58:06.794203
Lápis de sobrancelha,Roupas,18.37,29,Filial 9,2023-01-01 18:58:06.794203
Sombra de olhos,Alimentos,75.04,90,Filial 3,2023-08-29 18:58:06.794203
Pó compacto,Alimentos,9.59,46,Filial 8,2023-03-31 18:58:06.794203
Corretivo,Eletrônicos,84.24,27,Filial 5,2023-03-07 18:58:06.794203
Base líquida,Eletrodomésticos,22.41,97,Filial 2,2022-09-11 18:58:06.794203
Lápis de sobrancelha,Roupas,18.03,7,Filial 10,2023-01-26 18:58:06.794203
Batom matte,Eletrônicos,56.88,49,Filial 2,2023-02-01 18:58:06.794203
Pó compacto,Eletrônicos,71.07,10,Filial 4,2023-01-01 18:58:06.794203
Corretivo,Alimentos,80.43,2,Filial 10,2023-08-03 18:58:06.794203
Batom líquido,Eletrônicos,67.95,50,Filial 10,2022-10-06 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,15.85,89,Filial 9,2023-01-09 18:58:06.794203
Sombra de olhos,Alimentos,39.86,31,Filial 7,2023-07-02 18:58:06.794203
Lápis de sobrancelha,Eletrônicos,14.98,40,Filial 3,2023-06-04 18:58:06.794203
Corretivo,Roupas,6.9,91,Filial 9,2023-02-23 18:58:06.794203
Batom matte,Roupas,57.28,10,Filial 3,2023-07-31 18:58:06.794203
